F:147-Stp-Lc16-3_t07,subj-3_pore-147_col-1,3,
F:115-Stp-Lc7-3_t07,subj-3_pore-115_col-1,17,
F:127-Stp-Lc12-1_t07,subj-3_pore-127_col-1,9,
F:120-Stp-Lc11-1_t07,subj-3_pore-120_col-1,16,
F:141-Stp-Lc14-3_t07,subj-3_pore-141_col-1,11,
F:141-Stp-Lc14-2_t07,subj-3_pore-141_col-2,11,
F:141-Stp-Lc14-1_t07,subj-3_pore-141_col-3,11,
F:103-Stp-Fo2-4_t07,subj-3_pore-103_col-1,12,
F:129-Stp-Lc12-3_t07,subj-3_pore-129_col-1,15,
F:114-Stp-Lc7-1_t07,subj-3_pore-114_col-1,16,
F:143-Stp-Lc15-2_t07,subj-3_pore-143_col-1,15,
F:132-Stp-Lc10-2_t07,subj-3_pore-132_col-1,16,
F:145-Stp-Lc11-2_t07,subj-3_pore-145_col-1,8,
F:106-Stp-Fo3-2_t07,subj-3_pore-106_col-1,3,
F:128-Stp-Lc12-1_t07,subj-3_pore-128_col-1,9,
F:129-Stp-Lc12-1_t07,subj-3_pore-129_col-2,15,
F:109-Stp-Fo6-4_t07,subj-3_pore-109_col-1,12,
F:127-Stp-Lc12-3_t07,subj-3_pore-127_col-2,7,
F:120-Stp-Lc11-3_t07,subj-3_pore-120_col-2,16,
F:114-Stp-Lc7-3_t07,subj-3_pore-114_col-2,16,
F:109-Stp-Fo6-2_t07,subj-3_pore-109_col-2,12,
F:102-Stp-Fo1-2_t07,subj-3_pore-102_col-1,9,
